feature,importance,rank
twd_amount_skew,0.002794237,167
twd_in_avg_amount,0.0027926294,168
trade_amount_cv,0.0027844678,169
twd_day_entropy,0.0027722379,170
swap_gap_mean_sec,0.0027334178,171
suspicious_seq_count,0.0027079978,172
twd_active_span_sec,0.0026940901,173
swap_txn_per_active_day,0.0026898049,174
crypto_internal_ratio,0.0026818246,175
swap_total_twd,0.0026722436,176
twd_burstiness,0.0026403328,177
trade_txn_per_source,0.0026172716,178
twd_out_std_amount,0.0026085835,179
swap_round_10000_ratio,0.0025836956,180
crypto_hour_entropy,0.0025704196,181
swap_sell_buy_twd_ratio,0.002479417,182
twd_active_days,0.0024646956,183
trade_active_days,0.0024380747,184
income_source,0.002431289,185
trade_txn_per_ip,0.002431013,186
swap_buy_total_twd,0.0023659244,187
min_time_entropy,0.0023462207,188
swap_gap_std_sec,0.0022981851,189
twd_txn_count,0.0022934887,190
crypto_unique_relation_user,0.0022770576,191
trade_count,0.0022666105,192
trade_sell_count,0.0022575895,193
crypto_unique_ip,0.0022563776,194
crypto_txn_per_relation_user,0.0021958149,195
twd_deposit_count,0.0021649506,196
twd_amount_kurtosis,0.002163858,197
trade_market_count,0.0021627457,198
swap_active_days,0.002138555,199
swap_hour_entropy,0.0020985652,200
crypto_active_days,0.0020810585,201
twd_hour_entropy,0.0020751457,202
crypto_unique_protocol,0.0020508529,203
crypto_txn_count,0.0019590373,204
twd_withdraw_count,0.0019252643,205
twd_round_100000_ratio,0.0019241358,206
crypto_external_count,0.0018650928,207
twd_unique_ip,0.0018380018,208
crypto_has_ip_count,0.0016788116,209
trade_unique_ip,0.0016703578,210
swap_buy_count,0.0015686247,211
crypto_relation_count,0.0014577532,212
crypto_internal_count,0.0014133931,213
swap_count,0.0010766798,214
network_out_in_value_ratio,0.00078214676,215
network_direct_connections,0.0,216
has_trade,0.0,217
trade_source_nunique,0.0,218
has_confirmed,0.0,219
has_level1,0.0,220
has_swap,0.0,221
has_twd,0.0,222
has_crypto,0.0,223
network_degree_imbalance,0.0,224
has_level2,0.0,225
network_out_txn_count,0.0,226
network_in_degree,0.0,227
network_in_txn_count,0.0,228
network_total_degree,0.0,229
network_out_in_degree_ratio,0.0,230
