feature,importance,rank
crypto_withdraw_deposit_ratio,0.0017328920221314082,147
twd_active_days,0.0016832519026851126,148
crypto_withdraw_count,0.0016490412064615824,149
has_swap,0.0016234898685294414,150
trade_market_ratio,0.00161595692033981,151
twd_amount_kurtosis,0.0015996389672862633,152
swap_txn_per_active_day,0.001597393725489219,153
crypto_unique_from_wallet,0.0015771088259383637,154
twd_out_in_amount_ratio,0.0015606091096261885,155
trade_txn_per_active_day,0.0015484555798852444,156
crypto_withdraw_ratio,0.001538009147808333,157
crypto_in_std_amount,0.0015379133983628326,158
swap_sell_ratio,0.001532899540306143,159
trade_amount_cv,0.00151409036473906,160
ip_consistency_score,0.0015076558366857384,161
twd_withdraw_count,0.0014684672058602995,162
trade_txn_per_ip,0.0014561678089944842,163
crypto_active_days,0.0014357905405073818,164
twd_hour_entropy,0.0013931585197882364,165
swap_buy_ratio,0.001384551891483337,166
swap_twd_cv,0.001374161031069128,167
trade_market_count,0.001369319938961702,168
user_source,0.0013426547850059565,169
swap_day_entropy,0.001330845594479308,170
crypto_unique_to_wallet,0.0013234018306260977,171
trade_active_days,0.0013226094861968874,172
income_source,0.001318699283049241,173
trade_gap_std_sec,0.0013125439944033615,174
trade_buy_ratio,0.0013088894171154263,175
trade_sell_ratio,0.001301079930254476,176
crypto_unique_ip,0.0012858804963503869,177
suspicious_seq_count,0.00126183806872649,178
swap_hour_entropy,0.001257518836140682,179
trade_txn_per_source,0.001217953684091138,180
crypto_has_ip_ratio,0.001188058301364922,181
swap_active_days,0.0011810170034354708,182
txn_type_diversity,0.0011689826116073401,183
high_risk_to_wallet_count,0.0011611650667045518,184
trade_day_entropy,0.0011115300422007645,185
swap_night_ratio,0.0011026790900139783,186
trade_count,0.0010638339383105266,187
trade_source_nunique,0.000996021690377804,188
has_twd,0.0009861943502582817,189
swap_weekend_ratio,0.0009615035791903852,190
trade_unique_ip,0.0009576479582281267,191
unique_action_types,0.0009529240097873583,192
trade_buy_count,0.0009165678348378209,193
twd_out_std_amount,0.0008553791956120244,194
swap_gap_std_sec,0.0008367874061962449,195
trade_hour_entropy,0.0008363074212016449,196
swap_burstiness,0.000802757319378144,197
crypto_unique_protocol,0.0007566856407747517,198
crypto_unique_currency,0.0007455605811026886,199
swap_sell_count,0.0007066507821909419,200
trade_sell_count,0.0007041903109464466,201
has_trade,0.0005845724004584944,202
twd_round_100000_ratio,0.0005712609277665014,203
crypto_external_ratio,0.0005041216261764923,204
is_fast_twd_to_crypto,0.000502074572941834,205
swap_sell_buy_twd_ratio,0.00048798914935163705,206
network_in_avg_value,0.0004754456597007375,207
network_out_total_value,0.00047442488708076565,208
network_in_total_value,0.000381582700698499,209
is_fast_crypto_to_twd,0.0003479221495358403,210
network_out_avg_value,0.000335641219818365,211
crypto_internal_ratio,0.00032710761811500686,212
crypto_relation_ratio,0.0002887371706060763,213
network_out_in_value_ratio,0.0002725427626923137,214
network_in_txn_count,0.00022914656346688646,215
crypto_internal_count,0.00021349190221836068,216
has_crypto,0.00015791179549356883,217
crypto_relation_count,0.00015611863995221854,218
network_out_txn_count,0.00015245999967216707,219
network_total_degree,0.0001472785648061646,220
network_direct_connections,0.00014274619243224347,221
network_out_in_degree_ratio,0.0001376737702701432,222
network_in_degree,0.0001296170991061491,223
crypto_unique_relation_user,0.00012259740685560854,224
network_out_degree,0.00011464114246097432,225
min_time_entropy,1.7397842198716257e-05,226
has_confirmed,0.0,227
has_level1,0.0,228
has_level2,0.0,229
network_degree_imbalance,0.0,230
